,precision,recall,f1-score,support
WILSONS BIRD OF PARADISE,0.9464285714285714,0.9636363636363636,0.9549549549549549,55.0
WOOD DUCK,0.9305555555555556,0.8701298701298701,0.8993288590604027,77.0
WOOD THRUSH,0.8681318681318682,0.8315789473684211,0.849462365591398,95.0
WOODLAND KINGFISHER,0.9036144578313253,0.9493670886075949,0.9259259259259259,79.0
WRENTIT,0.7972972972972973,0.8805970149253731,0.8368794326241135,67.0
YELLOW BELLIED FLOWERPECKER,0.6976744186046512,0.5454545454545454,0.6122448979591837,55.0
YELLOW BREASTED CHAT,0.8461538461538461,0.9058823529411765,0.8749999999999999,85.0
YELLOW CACIQUE,0.8142857142857143,0.8142857142857143,0.8142857142857143,70.0
YELLOW HEADED BLACKBIRD,0.9466666666666667,0.922077922077922,0.9342105263157895,77.0
ZEBRA DOVE,1.0,0.9230769230769231,0.9600000000000001,65.0
accuracy,0.8738996868907662,0.8738996868907662,0.8738996868907662,0.8738996868907662
macro avg,0.8772174498789822,0.8722145093103142,0.8712163845655353,33854.0
weighted avg,0.8786033664450286,0.8738996868907662,0.8728143880349014,33854.0
